Type,Score,Model,Position
agents_mean_waiting_time (100),903.1940771908962,PPO_Ideal_Training,6
agents_mean_waiting_time (100),907.904218271293,Fixed_Timings,7
agents_mean_waiting_time (100),974.6466881780028,PPO_Camera_Training,8
agents_mean_waiting_time (100),1271.2366614186053,PPO_GPS_Training,9
agents_mean_speed,2034.9719449765284,PPO_Ideal_Training,1
agents_mean_speed,1957.861320080693,PPO_Camera_Training,2
agents_mean_speed,1809.5035191660536,PPO_GPS_Training,3
agents_mean_speed,578.039967268741,PPO_Camera_Simulation,4
agents_mean_speed,572.4899129140346,PPO_Ideal_Simulation,5
agents_mean_speed,555.7633368873039,Max_Pressure,6
agents_mean_speed,547.233708464341,Greedy,7
agents_mean_speed,538.5861048662377,PPO_GPS_Simulation,8
agents_mean_speed,266.7836519923095,Fixed_Timings,9
agents_cars_present,1793.2824833702875,PPO_Camera_Simulation,1
agents_cars_present,1821.805764966742,PPO_Ideal_Simulation,2
agents_cars_present,1850.8675555555553,Max_Pressure,3
agents_cars_present,1887.5537777777772,Greedy,4
agents_cars_present,1926.6288248337028,PPO_GPS_Simulation,5
agents_cars_present,4033.3999999999996,Fixed_Timings,6
agents_cars_present,8191.912748105863,PPO_Ideal_Training,7
agents_cars_present,8511.335929070046,PPO_Camera_Training,8
agents_cars_present,9229.63918511771,PPO_GPS_Training,9
