Type,Score,Model,Position
agents_mean_waiting_time (100),796.8188731635892,Max_Pressure,5
agents_mean_waiting_time (100),1488.9242148123699,PPO_Camera_Training,6
agents_mean_waiting_time (100),1929.1223939708655,PPO_GPS_Training,7
agents_mean_waiting_time (100),2569.993791823234,PPO_Ideal_Training,8
agents_mean_waiting_time (100),4413.755079015582,Fixed_Timings,9
agents_mean_speed,3274.919514467947,PPO_Ideal_Training,1
agents_mean_speed,2196.546053473564,PPO_Camera_Training,2
agents_mean_speed,2022.731009554802,PPO_GPS_Training,3
agents_mean_speed,674.8006141198838,PPO_Ideal_Simulation,4
agents_mean_speed,666.2750390246,PPO_Camera_Simulation,5
agents_mean_speed,611.6132979345123,PPO_GPS_Simulation,6
agents_mean_speed,559.2431268860183,Greedy,7
agents_mean_speed,515.2926260611597,Max_Pressure,8
agents_mean_speed,216.43429908520548,Fixed_Timings,9
agents_cars_present,1977.7871396895798,PPO_Ideal_Simulation,1
agents_cars_present,1997.238137472285,PPO_Camera_Simulation,2
agents_cars_present,2148.568514412416,PPO_GPS_Simulation,3
agents_cars_present,2409.3159999999984,Greedy,4
agents_cars_present,2622.6604444444465,Max_Pressure,5
agents_cars_present,6025.292000000004,Fixed_Timings,6
agents_cars_present,9703.079866568638,PPO_Camera_Training,7
agents_cars_present,10459.164726418057,PPO_GPS_Training,8
agents_cars_present,14865.236804217431,PPO_Ideal_Training,9
