Type,Score,Model,Position
agents_mean_waiting_time (100),29556.03018459364,ob1,12
agents_mean_speed,17850.0898108979,ob10,1
agents_mean_speed,17719.240573928764,ob9,2
agents_mean_speed,17691.380799556133,ob8,3
agents_mean_speed,17298.129832821003,ob6,4
agents_mean_speed,17234.841926019304,ob12,5
agents_mean_speed,17179.399102211173,ob5,6
agents_mean_speed,16968.697998956377,ob11,7
agents_mean_speed,16627.06669491594,ob3,8
agents_mean_speed,16626.373848397445,ob4,9
agents_mean_speed,16573.71561145958,ob7,10
agents_mean_speed,16115.18287584007,ob1,11
agents_mean_speed,15737.776537556008,ob2,12
agents_cars_present,48865,ob10,1
agents_cars_present,49389,ob9,2
agents_cars_present,49958,ob6,3
agents_cars_present,50550,ob8,4
agents_cars_present,50810,ob12,5
agents_cars_present,51342,ob3,6
agents_cars_present,51453,ob11,7
agents_cars_present,51709,ob5,8
agents_cars_present,52397,ob2,9
agents_cars_present,52925,ob4,10
agents_cars_present,53919,ob7,11
agents_cars_present,56425,ob1,12
