Type,Score,Model,Position
agents_mean_waiting_time (100),3.341768227749104,ob10,1
agents_mean_waiting_time (100),3.477957509195925,ob11,2
agents_mean_waiting_time (100),3.598847842626004,ob6,3
agents_mean_waiting_time (100),3.9388167560627974,ob5,4
agents_mean_waiting_time (100),4.680506330426815,ob9,5
agents_mean_waiting_time (100),4.7116987333261715,ob1,6
agents_mean_waiting_time (100),7.163457248084306,ob4,7
agents_mean_waiting_time (100),14.902778328400144,ob3,8
agents_mean_waiting_time (100),22.672457250266945,ob7,9
agents_mean_waiting_time (100),24.14477561000077,ob2,10
agents_mean_waiting_time (100),45.530362168989875,ob8,11
agents_mean_waiting_time (100),49.242244551746516,ob12,12
agents_mean_speed,6.9433841752356855,ob10,1
agents_mean_speed,6.7694381996108675,ob6,2
agents_mean_speed,6.734797326108046,ob11,3
agents_mean_speed,6.698444256770224,ob3,4
agents_mean_speed,6.660215300535633,ob9,5
agents_mean_speed,6.539945143977232,ob5,6
agents_mean_speed,6.505523998095142,ob8,7
agents_mean_speed,6.260834417829162,ob4,8
agents_mean_speed,6.202000368433364,ob1,9
agents_mean_speed,6.124143902570829,ob12,10
agents_mean_speed,6.076921733768896,ob2,11
agents_mean_speed,5.07549685971193,ob7,12
agents_cars_present,20.97303320704257,ob10,1
agents_cars_present,21.531772575250837,ob3,2
agents_cars_present,21.715182776407268,ob11,3
agents_cars_present,21.798079070806345,ob6,4
agents_cars_present,21.95829616413916,ob5,5
agents_cars_present,22.07594371230735,ob9,6
agents_cars_present,22.175603217158177,ob8,7
agents_cars_present,22.679732739420935,ob4,8
agents_cars_present,23.53603202846975,ob1,9
agents_cars_present,23.701691896705253,ob2,10
agents_cars_present,27.625918503674015,ob12,11
agents_cars_present,28.56625421822272,ob7,12
