step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col1_1_stopped,Col1_1_accumulated_waiting_time,Col1_1_average_speed
8.0,1,0.0,0.0,5.4636110218474645,2,0.0,0.0,0.0,0.0,0,0.0,0.0,10.927222043694929,0.0,0.0,1,0,0.0,0.6897221211484519
16.0,0,0.0,0.0,10.908752060376164,3,0.0,0.0,0.0,0.0,0,0.0,0.0,8.857113367598505,0.0,0.0,1,0,0.0,0.6838189271583124
24.0,2,2.0,0.2857142857142857,6.180505759310063,7,2.0,0.2857142857142857,2.0,0.2857142857142857,2,2.0,2.0,4.841001876454377,0.3333333333333333,0.3333333333333333,6,2,2.0,0.32145931437528125
32.0,0,0.0,0.0,10.291334180296317,7,5.0,0.7142857142857143,3.0,0.42857142857142855,0,0.0,0.0,11.900809747498167,0.0,0.0,5,0,0.0,0.7478821471939894
40.0,1,4.0,0.5,12.334722946992999,8,4.0,0.5,0.0,0.0,1,4.0,4.0,10.915751296169656,0.8,0.8,5,1,4.0,0.7479369484803942
48.0,1,12.0,1.3333333333333333,7.793245725876797,9,12.0,1.3333333333333333,8.0,0.8888888888888888,1,12.0,8.0,7.9603936306692304,1.5,1.5,8,1,12.0,0.5274288453744691
56.0,0,0.0,0.0,9.354745341374112,10,19.0,1.9,7.0,0.7,0,0.0,0.0,8.460025323704278,0.0,0.0,6,0,0.0,0.5195116417767318
64.0,1,7.0,0.7,6.975119428065776,10,33.0,3.3,14.0,1.4,1,7.0,7.0,6.346178778862836,1.1666666666666667,1.1666666666666667,6,1,7.0,0.3701949216443166
72.0,5,33.0,2.75,7.56863315011478,12,59.0,4.916666666666667,26.0,2.1666666666666665,3,21.0,14.0,5.86913480860012,3.0,3.0,7,3,21.0,0.2997909575545758
80.0,2,3.0,0.2,8.374975390909684,15,75.0,5.0,16.0,1.0666666666666667,2,4.0,0.0,6.990867811004788,0.4,0.4,10,2,4.0,0.4550301218874761
88.0,0,0.0,0.0,10.609984552924791,17,45.0,2.6470588235294117,0.0,0.0,0,1.0,0.0,10.822769118723226,0.1,0.1,10,0,1.0,0.7031411636667008
96.0,2,5.0,0.2631578947368421,7.937115612206074,19,22.0,1.1578947368421053,0.0,0.0,2,6.0,5.0,7.526167795824601,0.3333333333333333,0.3333333333333333,18,2,6.0,0.49732126511825814
104.0,6,48.0,2.1818181818181817,6.97150794705601,22,49.0,2.227272727272727,27.0,1.2272727272727273,6,49.0,43.0,6.967945335747605,2.45,2.45,20,6,49.0,0.4589456287895614
112.0,3,5.0,0.18518518518518517,6.8026818933662,27,86.0,3.185185185185185,37.0,1.3703703703703705,3,26.0,0.0,6.29622943118448,1.2380952380952381,1.2380952380952381,21,3,26.0,0.39797627987702877
120.0,7,20.0,0.7692307692307693,6.524089257012808,26,58.0,2.230769230769231,0.0,0.0,7,40.0,14.0,5.798159904845538,2.0,2.0,20,7,40.0,0.3904899478660809
128.0,5,10.0,0.37037037037037035,5.905688758524042,27,92.0,3.4074074074074074,34.0,1.2592592592592593,5,42.0,2.0,4.304446984547944,2.1,2.1,20,5,42.0,0.28145308188407897
136.0,7,25.0,0.9615384615384616,5.30278201277594,26,80.0,3.076923076923077,0.0,0.0,7,64.0,22.0,4.527885829686507,2.909090909090909,2.909090909090909,22,7,64.0,0.31674260383284686
144.0,5,22.0,0.7857142857142857,5.406487724879975,28,136.0,4.857142857142857,56.0,2.0,5,76.0,12.0,4.509491736924738,3.619047619047619,3.619047619047619,21,5,76.0,0.3153772027508801
152.0,8,56.0,1.8064516129032258,8.426458076902513,31,119.0,3.838709677419355,0.0,0.0,7,57.0,0.0,6.123154526366706,2.85,2.85,20,7,57.0,0.40151125878424504
160.0,6,12.0,0.4444444444444444,7.042331135316048,27,99.0,3.6666666666666665,0.0,0.0,6,34.0,0.0,6.695552258776954,1.5454545454545454,1.5454545454545454,22,6,34.0,0.42240596288423704
168.0,8,17.0,0.5666666666666667,5.919786825556392,30,84.0,2.8,0.0,0.0,7,50.0,16.0,5.2225063843255155,2.1739130434782608,2.1739130434782608,23,7,50.0,0.33296346473306515
176.0,8,26.0,0.7878787878787878,6.885308790268095,33,113.0,3.4242424242424243,29.0,0.8787878787878788,8,47.0,0.0,5.858692042199091,1.88,1.88,25,8,47.0,0.3824300907908502
184.0,5,22.0,0.6470588235294118,7.226025142884376,34,127.0,3.735294117647059,14.0,0.4117647058823529,5,63.0,16.0,5.765344378023212,2.423076923076923,2.423076923076923,26,5,63.0,0.37271333063374235
192.0,6,23.0,0.6764705882352942,6.125096995084193,34,111.0,3.264705882352941,0.0,0.0,6,66.0,3.0,5.437455610963346,2.2758620689655173,2.2758620689655173,29,6,66.0,0.3471204298929108
200.0,10,33.0,0.9428571428571428,5.267112356833465,35,148.0,4.228571428571429,37.0,1.0571428571428572,10,91.0,25.0,4.96713389754015,2.935483870967742,2.935483870967742,31,10,91.0,0.3223010155558337
208.0,9,29.0,0.8055555555555556,5.112940577347844,36,157.0,4.361111111111111,9.0,0.25,9,116.0,25.0,4.6903068577192455,3.625,3.625,32,9,116.0,0.3115738265618426
