Type,Score,Model,Position
agents_mean_waiting_time (100),787.8417185032494,Fixed_Timings,6
agents_mean_waiting_time (100),903.1940771908962,PPO_Ideal_Training,7
agents_mean_waiting_time (100),974.6466881780028,PPO_Camera_Training,8
agents_mean_waiting_time (100),1271.2366614186053,PPO_GPS_Training,9
agents_mean_speed,2034.9719449765284,PPO_Ideal_Training,1
agents_mean_speed,1957.861320080693,PPO_Camera_Training,2
agents_mean_speed,1809.5035191660536,PPO_GPS_Training,3
agents_mean_speed,581.5486553676456,PPO_Ideal_Simulation,4
agents_mean_speed,574.5645943444084,PPO_Camera_Simulation,5
agents_mean_speed,557.9580824849453,Max_Pressure,6
agents_mean_speed,548.34932929705,Greedy,7
agents_mean_speed,543.460167478774,PPO_GPS_Simulation,8
agents_mean_speed,294.45808970960223,Fixed_Timings,9
agents_cars_present,1780.922394678492,PPO_Ideal_Simulation,1
agents_cars_present,1836.2466666666674,Max_Pressure,2
agents_cars_present,1845.2483370288242,PPO_Camera_Simulation,3
agents_cars_present,1882.0909090909083,PPO_GPS_Simulation,4
agents_cars_present,1905.1822222222215,Greedy,5
agents_cars_present,2932.456000000001,Fixed_Timings,6
agents_cars_present,8191.912748105863,PPO_Ideal_Training,7
agents_cars_present,8511.335929070046,PPO_Camera_Training,8
agents_cars_present,9229.63918511771,PPO_GPS_Training,9
